t_imu ax ay az gx gy gz
13.666 -0.0673369 0.0260369 9.87249 -0.038147 -0.137329 0.152588
13.676 -0.0637456 0.0404022 9.86621 0.12207 -0.274658 0.152588
13.686 -0.0457891 0.0404022 9.87698 0.038147 -0.12207 0.144959
13.696 -0.0493804 0.0350152 9.84825 0.0610352 0.076294 0.0457764
13.706 -0.0673369 0.0188543 9.85184 -0.0839234 -0.0152588 0.114441
13.716 -0.0574608 0.0457891 9.85723 0.038147 -0.0839234 0.190735
13.726 -0.0592565 0.0502782 9.85813 0.0228882 -0.0152588 0.358582
13.736 -0.0529717 0.0475848 9.85992 0.0305176 -0.0152588 0.152588
13.746 -0.0745195 0.0395043 9.85453 -0.0228882 0.0610352 0.12207
13.756 -0.0601543 0.0377087 9.87249 0.0076294 -0.0457764 0.221253
13.766 -0.0305261 0.0466869 9.87788 0.190735 -0.137329 0.236511
13.776 -0.0448913 0.0511761 9.86441 0.190735 -0.137329 0.236511
13.786 -0.0341174 0.0457891 9.86621 -0.0839234 0.0991822 0.0839234
13.796 -0.0592565 0.0538695 9.88147 0.0228882 -0.0228882 -0.0076294
13.806 -0.0628478 0.0601543 9.86082 0.0839234 0.0610352 0.0228882
13.816 -0.0430956 0.0736217 9.87698 -0.076294 -0.0305176 0.137329
13.826 -0.0736217 0.0574608 9.87339 -0.0839234 -0.137329 0.0839234
13.836 -0.0475848 0.0538695 9.86531 0.0534058 -0.0991822 0.144959
13.846 -0.0700304 0.0493804 9.868 0.0534058 0.106812 0.0610352
13.856 -0.0466869 0.0395043 9.84645 -0.0610352 -0.0686646 0.0991822
13.866 -0.0332195 0.0556652 9.85992 0.0457764 -0.076294 0.1297
13.876 -0.0574608 0.0305261 9.8671 0.137329 -0.152588 0.0915528
13.886 -0.0547674 0.0332195 9.8698 0.106812 -0.114441 0.144959
13.896 -0.0395043 0.0430956 9.87429 0.0305176 -0.0915528 0.0076294
13.906 -0.0520739 0.0511761 9.85992 0.152588 -0.228882 0.0686646
13.916 -0.0745195 0.0781108 9.86441 0.0686646 -0.175476 0.0839234
13.926 -0.0897826 0.0404022 9.87788 0.038147 -0.0686646 0.106812
13.936 -0.0628478 0.0421978 9.83209 0.0610352 -0.0152588 0.106812
13.947 -0.0404022 0.0368109 9.86531 0.038147 -0.175476 0.198364
13.957 -0.0296282 0.0520739 9.85723 -0.0076294 -0.183106 0.0152588
13.967 -0.0448913 0.0601543 9.86172 -0.0152588 -0.190735 0.0991822
13.977 -0.0817021 0.0673369 9.86261 0.0610352 -0.167847 0.137329
