t right_dis left_dis right_v left_v
1871746 7143 6391 0 0
1871756 7143 6391 0 0
1871766 7143 6391 0 0
1871776 7143 6391 0 0
1871786 7143 6391 0 0
1871796 7143 6391 0 0
1871806 7143 6391 0 0
1871816 7143 6391 0 0
1871826 7143 6391 0 0
1871836 7143 6391 0 0
1871846 7143 6391 0 0
1871856 7143 6391 0 0
1871866 7143 6391 0 0
1871876 7143 6391 0 0
1871886 7143 6391 0 0
1871896 7143 6391 0 0
1871906 7143 6391 0 0
1871916 7143 6391 0 0
1871926 7143 6391 0 0
1871936 7143 6391 0 0
1871946 7143 6391 0 0
1871956 7143 6391 0 0
1871966 7143 6391 0 0
1871976 7143 6391 0 0
1871986 7143 6391 0 0
1871996 7143 6391 0 0
1872006 7143 6391 0 0
1872016 7143 6391 0 0
1872026 7143 6391 0 0
1872036 7143 6391 0 0
1872046 7143 6391 0 0
1872056 7143 6391 0 0
1872066 7143 6391 0 0
1872076 7143 6391 0 0
1872087 7143 6391 0 0
1872097 7143 6391 0 0
1872107 7143 6391 0 0
1872117 7143 6391 0 0
1872127 7143 6391 0 0
1872137 7143 6391 0 0
1872147 7143 6391 0 0
1872156 7143 6391 0 0
1872166 7143 6391 0 0
1872176 7143 6391 0 0
1872186 7143 6391 0 0
1872196 7143 6391 0 0
1872206 7143 6391 0 0
1872216 7143 6391 0 0
1872226 7143 6391 0 0
1872236 7143 6391 0 0
1872246 7143 6391 0 0
1872256 7143 6391 0 0
1872266 7143 6391 0 0
1872276 7143 6391 0 0
1872286 7143 6391 0 0
1872296 7143 6391 0 0
1872306 7143 6391 0 0
1872316 7143 6391 0 0
1872326 7143 6391 0 0
1872336 7143 6391 0 0
1872346 7143 6391 0 0
1872356 7143 6391 0 0
1872366 7143 6391 0 0
1872376 7143 6391 0 0
1872386 7143 6391 0 0
1872396 7143 6391 0 0
1872406 7143 6391 0 0
1872416 7143 6391 0 0
1872426 7143 6391 0 0
1872436 7143 6391 0 0
1872446 7143 6391 0 0
1872456 7143 6391 0 0
1872466 7143 6391 0 0
1872476 7143 6391 0 0
1872486 7143 6391 0 0
1872496 7143 6391 0 0
1872506 7143 6391 0 0
1872516 7143 6391 0 0
1872526 7143 6391 0 0
1872536 7143 6391 0 0
1872546 7143 6391 0 0
1872556 7143 6391 0 0
1872566 7143 6391 0 0
1872576 7143 6391 0 0
1872586 7143 6391 0 0
1872596 7143 6391 0 0
1872606 7143 6391 0 0
1872616 7143 6391 0 0
1872626 7143 6391 0 0
1872636 7143 6391 0 0
1872646 7143 6391 0 0
1872656 7143 6391 0 0
1872666 7143 6391 0 0
1872676 7143 6391 0 0
1872686 7143 6391 0 0
1872696 7143 6391 0 0
1872706 7143 6391 0 0
1872716 7143 6391 0 0
1872726 7143 6391 0 0
1872736 7143 6391 0 0
1872746 7143 6391 0 0
1872756 7143 6391 0 0
1872766 7143 6391 0 0
1872776 7143 6391 0 0
1872786 7143 6391 0 0
1872796 7143 6391 0 0
1872806 7143 6391 0 0
1872816 7143 6391 0 0
1872826 7143 6391 0 0
1872836 7143 6391 0 0
1872846 7143 6391 0 0
1872856 7143 6391 0 0
1872866 7143 6391 0 0
1872876 7143 6391 0 0
1872886 7143 6391 0 0
1872896 7143 6391 0 0
1872906 7143 6391 0 0
1872916 7143 6391 0 0
1872926 7143 6391 0 0
1872936 7143 6391 0 0
1872946 7143 6391 0 0
1872956 7143 6391 0 0
1872966 7143 6391 0 0
1872976 7143 6391 0 0
1872986 7143 6391 0 0
1872996 7143 6391 0 0
1873006 7143 6391 0 0
1873016 7143 6391 0 0
1873026 7143 6391 0 0
1873036 7143 6391 0 0
1873046 7143 6391 0 0
1873056 7143 6391 0 0
1873066 7143 6391 0 0
1873076 7143 6391 0 0
1873086 7143 6391 0 0
1873096 7143 6391 0 0
1873106 7143 6391 0 0
1873116 7143 6391 0 0
1873126 7143 6391 0 0
1873136 7143 6391 0 0
1873146 7143 6391 0 0
1873156 7143 6391 0 0
1873166 7143 6391 0 0
1873176 7143 6391 0 0
1873186 7143 6391 0 0
1873196 7143 6391 0 0
1873206 7143 6391 0 0
1873216 7143 6391 0 0
1873226 7143 6391 0 0
1873236 7143 6391 0 0
1873246 7143 6391 0 0
1873256 7143 6391 0 0
1873266 7143 6391 0 0
1873276 7143 6391 0 0
1873286 7143 6391 0 0
1873296 7143 6391 0 0
1873306 7143 6391 0 0
1873316 7143 6391 0 0
1873326 7143 6391 0 0
1873336 7143 6391 0 0
1873346 7143 6391 0 0
1873356 7143 6391 0 0
1873366 7143 6391 0 0
1873376 7143 6391 0 0
1873386 7143 6391 0 0
1873396 7143 6391 0 0
1873406 7143 6391 0 0
1873416 7143 6391 0 0
1873426 7143 6391 0 0
1873436 7143 6391 0 0
1873446 7143 6391 0 0
1873456 7143 6391 0 0
1873466 7143 6391 0 0
1873476 7143 6391 0 0
1873486 7143 6391 0 0
1873496 7143 6391 0 0
1873506 7143 6391 0 0
1873516 7143 6391 0 0
1873526 7143 6391 0 0
1873536 7143 6391 0 0
1873546 7143 6391 0 0
1873556 7143 6391 0 0
1873566 7143 6391 0 0
1873576 7143 6391 0 0
1873586 7143 6391 0 0
1873596 7143 6391 0 0
1873606 7143 6391 0 0
1873616 7143 6391 0 0
1873626 7143 6391 0 0
1873636 7143 6391 0 0
1873646 7143 6391 0 0
1873656 7143 6391 0 0
1873666 7143 6391 0 0
1873676 7143 6391 0 0
1873686 7143 6391 0 0
1873696 7143 6391 0 0
1873706 7143 6391 0 0
