t pos_x pos_y free_degree
1871746 -2160 -67050 227
1871756 -2160 -67050 217
1871766 -2160 -67050 221
1871776 -2160 -67050 218
1871786 -2160 -67050 225
1871796 -2160 -67050 225
1871806 -2160 -67050 219
1871816 -2160 -67050 219
1871826 -2160 -67050 220
1871836 -2160 -67050 221
1871846 -2160 -67050 217
1871856 -2160 -67050 219
1871866 -2160 -67050 229
1871876 -2160 -67050 227
1871886 -2160 -67050 225
1871896 -2160 -67050 222
1871906 -2160 -67050 222
1871916 -2160 -67050 220
1871926 -2160 -67050 221
1871936 -2160 -67050 223
1871946 -2160 -67050 219
1871956 -2160 -67050 222
1871966 -2160 -67050 222
1871976 -2160 -67050 227
1871986 -2160 -67050 219
1871996 -2160 -67050 218
1872006 -2160 -67050 221
1872016 -2160 -67050 226
1872026 -2160 -67050 230
1872036 -2160 -67050 225
1872046 -2160 -67050 224
1872056 -2160 -67050 228
1872066 -2160 -67050 221
1872076 -2160 -67050 227
1872087 -2160 -67050 221
1872097 -2160 -67050 222
1872107 -2160 -67050 218
1872117 -2160 -67050 226
1872127 -2160 -67050 227
1872137 -2160 -67050 215
1872147 -2160 -67050 227
1872156 -2160 -67050 223
1872166 -2160 -67050 223
1872176 -2160 -67050 217
1872186 -2160 -67050 222
1872196 -2160 -67050 228
1872206 -2160 -67050 227
1872216 -2160 -67050 214
1872226 -2160 -67050 220
1872236 -2160 -67050 223
1872246 -2160 -67050 224
1872256 -2160 -67050 215
1872266 -2160 -67050 218
1872276 -2160 -67050 220
1872286 -2160 -67050 221
1872296 -2160 -67050 223
1872306 -2160 -67050 223
1872316 -2160 -67050 216
1872326 -2160 -67050 223
1872336 -2160 -67050 218
1872346 -2160 -67050 222
1872356 -2160 -67050 223
1872366 -2160 -67050 222
1872376 -2160 -67050 217
1872386 -2160 -67050 214
1872396 -2160 -67050 213
1872406 -2160 -67050 211
1872416 -2160 -67050 220
1872426 -2160 -67050 219
1872436 -2160 -67050 219
1872446 -2160 -67050 224
1872456 -2160 -67050 222
1872466 -2160 -67050 219
1872476 -2160 -67050 218
1872486 -2160 -67050 222
1872496 -2160 -67050 221
1872506 -2160 -67050 221
1872516 -2160 -67050 221
1872526 -2160 -67050 226
1872536 -2160 -67050 215
1872546 -2160 -67050 223
1872556 -2160 -67050 228
1872566 -2160 -67050 223
1872576 -2160 -67050 220
1872586 -2160 -67050 227
1872596 -2160 -67050 216
1872606 -2160 -67050 220
1872616 -2160 -67050 220
1872626 -2160 -67050 218
1872636 -2160 -67050 226
1872646 -2160 -67050 221
1872656 -2160 -67050 211
1872666 -2160 -67050 222
1872676 -2160 -67050 219
1872686 -2160 -67050 221
1872696 -2160 -67050 225
1872706 -2160 -67050 221
1872716 -2160 -67050 223
1872726 -2160 -67050 223
1872736 -2160 -67050 215
1872746 -2160 -67050 216
1872756 -2160 -67050 220
1872766 -2160 -67050 220
1872776 -2160 -67050 219
1872786 -2160 -67050 224
1872796 -2160 -67050 224
1872806 -2160 -67050 219
1872816 -2160 -67050 227
1872826 -2160 -67050 222
1872836 -2160 -67050 230
1872846 -2160 -67050 220
1872856 -2160 -67050 221
1872866 -2160 -67050 217
1872876 -2160 -67050 220
1872886 -2160 -67050 218
1872896 -2160 -67050 211
