t_odo p_right p_left v_right v_left
13.666 0 0 0 0
13.676 0 0 0 0
13.686 0 0 0 0
13.696 0 0 0 0
13.706 0 0 0 0
13.716 0 0 0 0
13.726 0 0 0 0
13.736 0 0 0 0
13.746 0 0 0 0
13.756 0 0 0 0
13.766 0 0 0 0
13.776 0 0 0 0
13.786 0 0 0 0
13.796 0 0 0 0
13.806 0 0 0 0
13.816 0 0 0 0
13.826 0 0 0 0
13.836 0 0 0 0
13.846 0 0 0 0
13.856 0 0 0 0
13.866 0 0 0 0
13.876 0 0 0 0
13.886 0 0 0 0
13.896 0 0 0 0
13.906 0 0 0 0
13.916 0 0 0 0
13.926 0 0 0 0
13.936 0 0 0 0
13.947 0 0 0 0
13.957 0 0 0 0
13.967 0 0 0 0
13.977 0 0 0 0
13.987 0 0 0 0
13.997 0 0 0 0
14.007 0 0 0 0
14.016 0 0 0 0
14.026 0 0 0 0
14.036 0 0 0 0
14.046 0 0 0 0
14.056 0 0 0 0
14.066 0 0 0 0
14.076 0 0 0 0
14.086 0 0 0 0
14.096 0 0 0 0
14.106 0 0 0 0
14.116 0 0 0 0
14.126 0 0 0 0
14.136 0 0 0 0
14.146 0 0 0 0
14.156 0 0 0 0
14.166 0 0 0 0
14.176 0 0 0 0
14.186 0 0 0 0
14.196 0 0 0 0
14.206 0 0 0 0
14.216 0 0 0 0
14.226 0 0 0 0
14.236 0 0 0 0
14.246 0 0 0 0
14.256 0 0 0 0
14.266 0 0 0 0
14.276 0 0 0 0
14.286 0 0 0 0
14.296 0 0 0 0
14.306 0 0 0 0
14.316 0 0 0 0
14.326 0 0 0 0
14.336 0 0 0 0
14.346 0 0 0 0
14.356 0 0 0 0
14.366 0 0 0 0
14.376 0 0 0 0
14.386 0 0 0 0
14.396 0 0 0 0
14.406 0 0 0 0
14.416 0 0 0 0
14.426 0 0 0 0
14.436 0 0 0 0
14.446 0 0 0 0
14.456 0 0 0 0
14.466 0 0 0 0
14.476 0 0 0 0
14.486 0 0 0 0
14.496 0 0 0 0
14.506 0 0 0 0
14.516 0 0 0 0
14.526 0 0 0 0
14.536 0 0 0 0
14.546 0 0 0 0
14.556 0 0 0 0
14.566 0 0 0 0
14.576 0 0 0 0
14.586 0 0 0 0
14.596 0 0 0 0
14.606 0 0 0 0
14.616 0 0 0 0
14.626 0 0 0 0
14.636 0 0 0 0
14.646 0 0 0 0
14.656 0 0 0 0
14.666 0 0 0 0
14.676 0 0 0 0
14.686 0 0 0 0
14.696 0 0 0 0
14.706 0 0 0 0
14.716 0 0 0 0
14.726 0 0 0 0
14.736 0 0 0 0
14.746 0 0 0 0
14.756 0 0 0 0
14.766 0 0 0 0
14.776 0 0 0 0
14.786 0 0 0 0
14.796 0 0 0 0
14.806 0 0 0 0
14.816 0 0 0 0
14.826 0 0 0 0
14.836 0 0 0 0
14.846 0 0 0 0
14.856 0 0 0 0
14.866 0 0 0 0
14.876 0 0 0 0
14.886 0 0 0 0
14.896 0 0 0 0
14.906 0 0 0 0
14.916 0 0 0 0
14.926 0 0 0 0
14.936 0 0 0 0
14.946 0 0 0 0
14.956 0 0 0 0
14.966 0 0 0 0
14.976 0 0 0 0
14.986 0 0 0 0
14.996 0 0 0 0
15.006 0 0 0 0
15.016 0 0 0 0
15.026 0 0 0 0
15.036 0 0 0 0
15.046 0 0 0 0
15.056 0 0 0 0
15.066 0 0 0 0
15.076 0 0 0 0
15.086 0 0 0 0
15.096 0 0 0 0
15.106 0 0 0 0
15.116 0 0 0 0
15.126 0 0 0 0
15.136 0 0 0 0
15.146 0 0 0 0
15.156 0 0 0 0
15.166 0 0 0 0
15.176 0 0 0 0
15.186 0 0 0 0
15.196 0 0 0 0
15.206 0 0 0 0
15.216 0 0 0 0
15.226 0 0 0 0
15.236 0 0 0 0
15.246 0 0 0 0
15.256 0 0 0 0
15.266 0 0 0 0
15.276 0 0 0 0
15.286 0 0 0 0
15.296 0 0 0 0
15.306 0 0 0 0
15.316 0 0 0 0
15.326 0 0 0 0
15.336 0 0 0 0
15.346 0 0 0 0
15.356 0 0 0 0
15.366 0 0 0 0
15.377 0 0 0 0
15.387 0 0 0 0
15.397 0 0 0 0
15.407 0 0 0 0
15.417 0 0 0 0
15.427 0 0 0 0
15.436 0 0 0 0
15.446 0 0 0 0
15.456 0 0 0 0
15.466 0 0 0 0
15.476 0 0 0 0
15.486 0 0 0 0
15.496 0 0 0 0
15.506 0 0 0 0
15.516 0 0 0 0
15.526 0 0 0 0
15.536 0 0 0 0
15.546 0 0 0 0
15.556 0 0 0 0
15.566 0 0 0 0
15.576 0 0 0 0
15.586 0 0 0 0
15.596 0 0 0 0
15.606 0 0 0 0
15.616 0 0 0 0
15.626 0 0 0 0
15.636 0 0 0 0
15.646 0 0 0 0
15.656 0 0 0 0
15.666 0 0 0 0
15.676 0 0 0 0
15.686 0 0 0 0
15.696 0 0 0 0
15.706 0 0 0 0
15.716 0 0 0 0
15.726 0 0 0 0
15.736 0 0 0 0
15.746 0 0 0 0
15.756 0 0 0 0
15.766 0 0 0 0
15.776 0 0 0 0
15.786 0 0 0 0
15.796 0 0 0 0
15.806 0 0 0 0
15.816 0 0 0 0
15.826 0 0 0 0
15.836 0 0 0 0
15.846 0 0 0 0
15.856 0 0 0 0
15.866 0 0 0 0
15.876 0 0 0 0
15.886 0 0 0 0
15.896 0 0 0 0
15.906 0 0 0 0
15.916 0 0 0 0
15.926 0 0 0 0
15.936 0 0 0 0
15.946 0 0 0 0
15.956 0 0 0 0
15.966 0 0 0 0
15.976 0 0 0 0
15.986 0 0 0 0
15.996 0 0 0 0
16.006 0 0 0 0
16.016 0 0 0 0
16.026 0 0 0 0
16.036 0 0 0 0
16.046 0 0 0 0
16.056 0 0 0 0
16.066 0 0 0 0
16.076 0 0 0 0
16.086 0 0 0 0
16.096 0 0 0 0
16.106 0 0 0 0
16.116 0 0 0 0
16.126 0 0 0 0
16.136 0 0 0 0
16.146 0 0 0 0
16.156 0 0 0 0
16.166 0 0 0 0
16.176 0 0 0 0
16.186 0 0 0 0
16.196 0 0 0 0
16.206 0 0 0 0
16.216 0 0 0 0
16.226 0 0 0 0
16.236 0 0 0 0
16.246 0 0 0 0
16.256 0 0 0 0
16.266 0 0 0 0
16.276 0 0 0 0
16.286 0 0 0 0
16.296 0 0 0 0
16.306 0 0 0 0
16.316 0 0 0 0
16.326 0 0 0 0
16.336 0 0 0 0
16.346 0 0 0 0
16.356 0 0 0 0
16.366 0 0 0 0
16.376 0 0 0 0
16.386 0 0 0 0
16.396 0 0 0 0
16.406 0 0 0 0
16.416 0 0 0 0
16.426 0 0 0 0
16.436 0 0 0 0
16.446 0 0 0 0
16.456 0 0 0 0
16.466 0 0 0 0
16.476 0 0 0 0
16.486 0 0 0 0
16.496 0 0 0 0
16.506 0 0 0 0
16.516 0 0 0 0
16.526 0 0 0 0
16.536 0 0 0 0
16.546 0 0 0 0
16.556 0 0 0 0
16.566 0 0 0 0
16.576 0 0 0 0
16.586 0 0 0 0
16.596 0 0 0 0
16.606 0 0 0 0
16.616 0 0 0 0
16.626 0 0 0 0
16.636 0 0 0 0
16.646 0 0 0 0
16.656 0 0 0 0
16.666 0 0 0 0
16.676 0 0 0 0
16.686 0 0 0 0
16.696 0 0 0 0
16.706 0 0 0 0
16.716 0 0 0 0
16.726 0 0 0 0
16.736 0 0 0 0
16.746 0 0 0 0
16.756 0 0 0 0
16.766 0 0 0 0
16.776 0 0 0 0
16.786 0 0 0 0
16.796 0 0 0 0
16.806 0 0 0 0
16.816 0 0 0 0
16.826 0 0 0 0
16.836 0 0 0 0
16.846 0 0 0 0
16.856 0 0 0 0
16.866 0 0 0 0
16.876 0 0 0 0
16.886 0 0 0 0
16.896 0 0 0 0
16.906 0 0 0 0
16.916 0 0 0 0
16.926 0 0 0 0
16.936 0 0 0 0
16.946 0 0 0 0
16.956 0 0 0 0
16.966 0 0 0 0
16.976 0 0 0 0
16.986 0 0 0 0
16.996 0 0 0 0
17.007 0 0 0 0
17.017 0 0 0 0
17.027 0 0 0 0
17.037 0 0 0 0
17.047 0 0 0 0
