t ax ay az gx gy gz   
362506 -67 107 10993 -1 -33 13
362516 -42 95 10990 -3 -11 7
362526 -36 91 11015 -12 8 22
362536 -39 101 11028 -1 1 4
362546 -39 95 10990 -6 0 26
362556 -66 102 10991 3 -2 6
362566 -55 96 11008 -2 -5 16
362576 -44 73 10993 16 9 20
362586 -48 119 11000 30 -14 15
362596 -55 108 11002 20 -7 22
362606 -40 107 11008 4 -14 -5
362616 -54 106 11009 15 -27 22
362626 -53 107 10987 -2 -17 27
362636 -40 82 10986 -9 6 11
362646 -56 70 10968 -2 -4 13
362656 -63 86 10968 -8 -15 8
362666 -55 114 10962 -2 -25 14
362676 -48 86 10987 4 -13 -1
362686 -39 84 11002 8 -12 8
362696 -52 107 10973 10 -11 8
362706 -22 114 10999 7 -26 22
362716 -59 83 11035 12 2 17
362726 -63 108 11004 4 -13 17
362736 -40 106 10950 3 6 22
362746 -60 75 10997 2 5 20
362756 -53 79 10991 -4 -21 14
362766 -41 99 10992 5 -17 22
362776 -56 94 11002 6 -9 15
362786 -29 51 11004 5 6 11
362796 -30 98 10976 5 -39 16
362806 -31 122 10996 0 -2 11
362816 -3 129 10995 6 -5 13
362826 -34 114 10999 1 6 20
362836 -28 86 11003 5 -1 28
362846 -59 96 11002 18 -7 29
362856 -26 91 11010 10 -36 21
362866 -49 95 11015 25 -9 14
362876 -69 97 10990 14 9 10
362886 -40 77 10978 15 9 20
362896 -32 76 10982 6 -19 8
362906 -35 97 11003 -4 -8 12
362916 -50 83 11008 2 -10 15
362926 -39 76 11022 -2 3 5
362936 -29 105 10996 2 7 17
362946 -54 98 11001 4 28 24
362956 -71 95 10973 -5 -12 17
362966 -71 78 10971 12 10 9
362976 -62 70 10992 6 15 24
362986 -46 106 10987 24 9 18
362996 -56 103 10957 7 40 20
363006 -49 115 10978 11 -31 8
363016 -45 89 10999 9 -11 22
363026 -38 108 11008 -6 -6 5
363036 -19 62 10980 5 14 26
363046 -52 79 10994 9 -19 22
363056 -19 94 10994 2 -6 8
363066 -47 84 10986 0 -21 7
363076 -54 89 11008 7 1 13
363086 -38 103 11019 9 -8 15
363096 -44 75 10988 -8 1 22
363106 -41 89 10999 12 -8 9
363116 -31 112 10992 -7 -4 6
363126 -40 96 10972 8 -16 17
363136 -64 90 10984 -1 -20 16
363146 -56 91 10989 -1 -23 11
363157 -39 112 11011 -7 -29 -6
363167 -47 70 11011 0 3 15
363177 -39 56 10976 -9 -2 18
363187 -49 102 11006 -2 14 11
363197 -31 97 10992 18 21 17
363207 -35 91 11012 3 8 21
363216 -33 94 10995 10 -9 25
363226 -81 97 10970 10 -9 25
363236 -45 115 11005 19 0 15
363246 -40 90 10981 14 4 21
363256 -56 104 10979 -9 -6 -6
363266 -51 116 11016 22 -16 19
363276 -51 100 10997 2 6 25
363286 -75 93 11024 -17 14 26
363296 -37 92 11018 0 -24 20
363306 -54 105 10991 5 3 20
363316 -66 111 11001 -1 -14 12
363326 -65 94 11000 25 2 9
363336 -53 75 10997 8 -17 24
363346 -10 69 10976 14 -5 18
363356 -33 80 11005 16 -5 22
363366 -47 86 11000 15 -4 13
363376 -57 98 11010 11 -17 20
363386 -47 77 10976 7 -11 16
363396 -52 66 11007 -7 -3 11
363406 -62 74 11028 0 -26 11
363416 -75 100 10994 3 -9 19
363426 -42 107 11012 7 -3 35
363436 -7 112 10980 -4 -8 20
363446 -54 105 11000 12 -22 22
363456 -67 96 11017 12 7 22
363466 -43 74 10975 -2 -6 11
363476 -53 71 10990 14 9 45
363486 -77 73 11003 10 1 26
363496 -26 65 10994 3 -13 20
363506 -30 84 10998 15 -16 14
363516 -47 92 10985 14 -14 9
363526 -74 92 10963 6 -16 9
363536 -72 83 10981 4 -9 19
363546 -18 80 10965 9 -12 22
363556 -36 109 10988 0 -15 15
363566 -41 98 11013 8 18 2
363576 -41 89 11000 6 -3 20
363586 -45 72 11008 -13 -13 1
363596 -62 68 10984 4 14 8
363606 -44 88 10974 4 -31 20
363616 -46 110 10999 9 -6 15
363626 -46 80 10996 15 0 12
363636 -54 78 10982 9 -9 19
363646 -46 107 10967 -4 14 10
363656 -64 115 10988 14 -31 1
