t_o r_p l_p r_v l_v
362506 4 5 0 0
362516 4 5 0 0
362526 4 5 0 0
362536 4 5 0 0
362546 4 5 0 0
362556 4 5 0 0
362566 4 5 0 0
362576 4 5 0 0
362586 4 5 0 0
362596 4 5 0 0
362606 4 5 0 0
362616 4 5 0 0
362626 4 5 0 0
362636 4 5 0 0
362646 4 5 0 0
362656 4 5 0 0
362666 4 5 0 0
362676 4 5 0 0
362686 4 5 0 0
362696 4 5 0 0
362706 4 5 0 0
362716 4 5 0 0
362726 4 5 0 0
362736 4 5 0 0
362746 4 5 0 0
362756 4 5 0 0
362766 4 5 0 0
362776 4 5 0 0
362786 4 5 0 0
362796 4 5 0 0
362806 4 5 0 0
362816 4 5 0 0
362826 4 5 0 0
362836 4 5 0 0
362846 4 5 0 0
362856 4 5 0 0
362866 4 5 0 0
362876 4 5 0 0
362886 4 5 0 0
362896 4 5 0 0
362906 4 5 0 0
362916 4 5 0 0
362926 4 5 0 0
362936 4 5 0 0
362946 4 5 0 0
362956 4 5 0 0
362966 4 5 0 0
362976 4 5 0 0
362986 4 5 0 0
362996 4 5 0 0
363006 4 5 0 0
363016 4 5 0 0
363026 4 5 0 0
363036 4 5 0 0
363046 4 5 0 0
363056 4 5 0 0
363066 4 5 0 0
363076 4 5 0 0
363086 4 5 0 0
363096 4 5 0 0
363106 4 5 0 0
363116 4 5 0 0
363126 4 5 0 0
363136 4 5 0 0
363146 4 5 0 0
363157 4 5 0 0
363167 4 5 0 0
363177 4 5 0 0
363187 4 5 0 0
363197 4 5 0 0
363207 4 5 0 0
363216 4 5 0 0
363226 4 5 0 0
363236 4 5 0 0
363246 4 5 0 0
363256 4 5 0 0
363266 4 5 0 0
363276 4 5 0 0
363286 4 5 0 0
363296 4 5 0 0
363306 4 5 0 0
363316 4 5 0 0
363326 4 5 0 0
363336 4 5 0 0
363346 4 5 0 0
363356 4 5 0 0
363366 4 5 0 0
363376 4 5 0 0
363386 4 5 0 0
363396 4 5 0 0
363406 4 5 0 0
363416 4 5 0 0
363426 4 5 0 0
363436 4 5 0 0
363446 4 5 0 0
363456 4 5 0 0
363466 4 5 0 0
363476 4 5 0 0
363486 4 5 0 0
363496 4 5 0 0
363506 4 5 0 0
363516 4 5 0 0
363526 4 5 0 0
363536 4 5 0 0
363546 4 5 0 0
363556 4 5 0 0
363566 4 5 0 0
363576 4 5 0 0
363586 4 5 0 0
363596 4 5 0 0
363606 4 5 0 0
363616 4 5 0 0
363626 4 5 0 0
363636 4 5 0 0
363646 4 5 0 0
363656 4 5 0 0
363666 4 5 0 0
363676 4 5 0 0
363686 4 5 0 0
363696 4 5 0 0
363706 4 5 0 0
363716 4 5 0 0
363726 4 5 0 0
363736 4 5 0 0
363746 4 5 0 0
363756 4 5 0 0
363766 4 5 0 0
363776 4 5 0 0
363786 4 5 0 0
363796 4 5 0 0
363806 4 5 0 0
363816 4 5 0 0
363826 4 5 0 0
363836 4 5 0 0
363846 4 5 0 0
363856 4 5 0 0
363866 4 5 0 0
363876 4 5 0 0
363886 4 5 0 0
363896 4 5 0 0
363906 4 5 0 0
363916 4 5 0 0
363926 4 5 0 0
363936 4 5 0 0
363946 4 5 0 0
363956 4 5 0 0
363966 4 5 0 0
363976 4 5 0 0
363986 4 5 0 0
363996 4 5 0 0
364006 4 5 0 0
364016 4 5 0 0
364026 4 5 0 0
364036 4 5 0 0
364046 4 5 0 0
364056 4 5 0 0
364066 4 5 0 0
364076 4 5 0 0
364086 4 5 0 0
364096 4 5 0 0
364106 4 5 0 0
364116 4 5 0 0
364126 4 5 0 0
364136 4 5 0 0
364146 4 5 0 0
364156 4 5 0 0
364166 4 5 0 0
364176 4 5 0 0
364186 4 5 0 0
364196 4 5 0 0
364206 4 5 0 0
364216 4 5 0 0
364226 4 5 0 0
364236 4 5 0 0
364246 4 5 0 0
364256 4 5 0 0
364266 4 5 0 0
364276 4 5 0 0
364286 4 5 0 0
364296 4 5 0 0
364306 4 5 0 0
364316 4 5 0 0
364326 4 5 0 0
364336 4 5 0 0
364346 4 5 0 0
364356 4 5 0 0
364366 4 5 0 0
364376 4 5 0 0
364386 4 5 0 0
364396 4 5 0 0
364406 4 5 0 0
364416 4 5 0 0
364426 4 5 0 0
364436 4 5 0 0
364446 4 5 0 0
364456 4 5 0 0
364466 4 5 0 0
364476 4 5 0 0
364486 4 5 0 0
364496 4 5 0 0
364506 4 5 0 0
364516 4 5 0 0
364526 4 5 0 0
364536 4 5 0 0
364546 4 5 0 0
364556 4 5 0 0
364566 4 5 0 0
364576 4 5 0 0
364586 4 5 0 0
364596 4 5 0 0
364606 4 5 0 0
364616 4 5 0 0
364626 4 5 0 0
364636 4 5 0 0
364646 4 5 0 0
364656 4 5 0 0
364666 4 5 0 0
364676 4 5 0 0
364686 4 5 0 0
364696 4 5 0 0
364706 4 5 0 0
364716 4 5 0 0
364726 4 5 0 0
364736 4 5 0 0
364747 4 5 0 0
364757 4 5 0 0
364767 4 5 0 0
364777 4 5 0 0
364787 4 5 0 0
364797 4 5 0 0
364807 4 5 0 0
364816 4 5 0 0
364826 4 5 0 0
364836 4 5 0 0
364846 4 5 0 0
364856 4 5 0 0
364866 4 5 0 0
364876 4 5 0 0
364886 4 5 0 0
364896 4 5 0 0
364906 4 5 0 0
364916 4 5 0 0
364926 4 5 0 0
364936 4 5 0 0
364946 4 5 0 0
364956 4 5 0 0
364966 4 5 0 0
364976 4 5 0 0
364986 4 5 0 0
364996 4 5 0 0
365006 4 5 0 0
365016 4 5 0 0
365026 4 5 0 0
365036 4 5 0 0
365046 4 5 0 0
365056 4 5 0 0
365066 4 5 0 0
365076 4 5 0 0
365086 4 5 0 0
365096 4 5 0 0
365106 4 5 0 0
365116 4 5 0 0
365126 4 5 0 0
365136 4 5 0 0
365146 4 5 0 0
365156 4 5 0 0
365166 4 5 0 0
