t_f px py fd
362506 -679 657 281
362516 -679 657 276
362526 -679 657 276
362536 -679 657 272
362546 -679 657 272
362556 -679 657 275
362566 -679 657 276
362576 -679 657 278
362586 -679 657 278
362596 -679 657 272
362606 -679 657 277
362616 -679 657 275
362626 -679 657 282
362636 -679 657 273
362646 -679 657 269
362656 -679 657 274
362666 -679 657 276
362676 -679 657 277
362686 -679 657 277
362696 -679 657 280
362706 -679 657 280
362716 -679 657 274
362726 -679 657 275
362736 -679 657 278
362746 -679 657 268
362756 -679 657 272
362766 -679 657 278
362776 -679 657 277
362786 -679 657 276
362796 -679 657 275
362806 -679 657 276
362816 -679 657 275
362826 -679 657 271
362836 -679 657 273
362846 -679 657 281
362856 -679 657 273
362866 -679 657 277
362876 -679 657 274
362886 -679 657 279
362896 -679 657 271
362906 -679 657 275
362916 -679 657 280
362926 -679 657 277
362936 -679 657 273
362946 -679 657 277
362956 -679 657 277
362966 -679 657 274
362976 -679 657 271
362986 -679 657 277
362996 -679 657 279
363006 -679 657 275
363016 -679 657 281
363026 -679 657 272
363036 -679 657 272
363046 -679 657 273
363056 -679 657 275
363066 -679 657 276
363076 -679 657 274
363086 -679 657 265
363096 -679 657 274
363106 -679 657 274
363116 -679 657 275
363126 -679 657 272
363136 -679 657 278
363146 -679 657 273
363157 -679 657 273
363167 -679 657 274
363177 -679 657 268
363187 -679 657 271
363197 -679 657 270
363207 -679 657 273
363216 -679 657 277
363226 -679 657 275
363236 -679 657 275
363246 -679 657 278
363256 -679 657 278
363266 -679 657 269
363276 -679 657 272
363286 -679 657 269
363296 -679 657 272
363306 -679 657 271
363316 -679 657 274
363326 -679 657 274
363336 -679 657 271
363346 -679 657 273
363356 -679 657 267
363366 -679 657 278
363376 -679 657 266
363386 -679 657 278
363396 -679 657 281
363406 -679 657 276
363416 -679 657 275
363426 -679 657 279
363436 -679 657 276
363446 -679 657 278
363456 -679 657 272
363466 -679 657 274
363476 -679 657 272
363486 -679 657 272
363496 -679 657 278
363506 -679 657 273
363516 -679 657 270
363526 -679 657 275
363536 -679 657 272
363546 -679 657 277
363556 -679 657 271
363566 -679 657 272
363576 -679 657 269
363586 -679 657 275
363596 -679 657 281
363606 -679 657 268
363616 -679 657 269
363626 -679 657 272
363636 -679 657 270
363646 -679 657 277
363656 -679 657 277
363666 -679 657 273
363676 -679 657 266
363686 -679 657 275
363696 -679 657 273
363706 -679 657 271
363716 -679 657 276
363726 -679 657 275
363736 -679 657 275
363746 -679 657 267
363756 -679 657 275
363766 -679 657 274
363776 -679 657 268
363786 -679 657 271
363796 -679 657 275
363806 -679 657 270
363816 -679 657 273
363826 -679 657 273
363836 -679 657 272
363846 -679 657 272
363856 -679 657 276
363866 -679 657 278
363876 -679 657 266
363886 -679 657 277
363896 -679 657 273
363906 -679 657 271
363916 -679 657 273
363926 -679 657 271
363936 -679 657 273
363946 -679 657 272
363956 -679 657 276
363966 -679 657 276
363976 -679 657 276
363986 -679 657 277
