opt_t p_x p_y wall_0 wall_1 img_quality
13.666 0 -8.66306e-05 4918 4929 263
13.676 0 -8.66306e-05 4917 4930 261
13.686 0 -8.66306e-05 4920 4932 262
13.696 0 -8.66306e-05 4918 4931 270
13.706 0 -8.66306e-05 4913 4930 263
13.716 0 -8.66306e-05 4912 4928 262
13.726 0 -8.66306e-05 4914 4928 260
13.736 0 -8.66306e-05 4920 4931 263
13.746 0 -8.66306e-05 4918 4933 264
13.756 0 -8.66306e-05 4914 4931 264
13.766 0 -8.66306e-05 4917 4930 265
13.776 0 -8.66306e-05 4918 4930 263
13.786 0 -8.66306e-05 4914 4929 269
13.796 0 -8.66306e-05 4915 4928 268
13.806 0 -8.66306e-05 4919 4931 268
13.816 0 -8.66306e-05 4917 4928 267
13.826 0 -8.66306e-05 4914 4926 264
13.836 0 -8.66306e-05 4917 4931 264
13.846 0 -8.66306e-05 4918 4931 257
13.856 0 -8.66306e-05 4918 4930 272
13.866 0 -8.66306e-05 4916 4928 263
13.876 0 -8.66306e-05 4912 4929 270
13.886 0 -8.66306e-05 4917 4932 266
13.896 0 -8.66306e-05 4921 4931 269
13.906 0 -8.66306e-05 4913 4930 261
13.916 0 -8.66306e-05 4912 4930 266
13.926 0 -8.66306e-05 4918 4929 267
13.936 0 -8.66306e-05 4917 4927 263
13.947 0 -8.66306e-05 4918 4926 269
13.957 0 -8.66306e-05 4917 4927 259
13.967 0 -8.66306e-05 4917 4930 262
13.977 0 -8.66306e-05 4920 4931 259
13.987 0 -8.66306e-05 4922 4930 268
13.997 0 -8.66306e-05 4918 4930 274
14.007 0 -8.66306e-05 4915 4928 265
14.016 0 -8.66306e-05 4925 4934 265
14.026 0 -8.66306e-05 4925 4935 266
14.036 0 -8.66306e-05 4917 4928 260
14.046 0 -8.66306e-05 4915 4926 265
14.056 0 -8.66306e-05 4913 4925 266
14.066 0 -8.66306e-05 4917 4928 263
14.076 0 -8.66306e-05 4919 4929 266
14.086 0 -8.66306e-05 4919 4929 269
14.096 0 -8.66306e-05 4917 4931 264
14.106 0 -8.66306e-05 4915 4931 267
14.116 0 -8.66306e-05 4915 4929 273
14.126 0 -8.66306e-05 4913 4929 266
14.136 0 -8.66306e-05 4912 4927 262
14.146 0 -8.66306e-05 4920 4926 266
14.156 0 -8.66306e-05 4922 4928 265
14.166 0 -8.66306e-05 4911 4931 264
14.176 0 -8.66306e-05 4912 4931 263
14.186 0 -8.66306e-05 4917 4930 262
14.196 0 -8.66306e-05 4918 4929 267
14.206 0 -8.66306e-05 4916 4928 262
14.216 0 -8.66306e-05 4913 4927 265
14.226 0 -8.66306e-05 4913 4928 266
14.236 0 -8.66306e-05 4915 4929 266
14.246 0 -8.66306e-05 4917 4929 274
14.256 0 -8.66306e-05 4915 4929 261
14.266 0 -8.66306e-05 4916 4929 265
14.276 0 -8.66306e-05 4920 4929 261
14.286 0 -8.66306e-05 4918 4929 256
14.296 0 -8.66306e-05 4919 4930 257
14.306 0 -8.66306e-05 4920 4930 265
14.316 0 -8.66306e-05 4917 4931 264
14.326 0 -8.66306e-05 4917 4929 266
14.336 0 -8.66306e-05 4918 4930 266
14.346 0 -8.66306e-05 4917 4928 270
14.356 0 -8.66306e-05 4913 4928 265
14.366 0 -8.66306e-05 4914 4929 274
14.376 0 -8.66306e-05 4916 4927 268
14.386 0 -8.66306e-05 4919 4929 269
14.396 0 -8.66306e-05 4912 4930 260
14.406 0 -8.66306e-05 4909 4929 260
14.416 0 -8.66306e-05 4915 4928 266
14.426 0 -8.66306e-05 4918 4931 259
14.436 0 -8.66306e-05 4921 4930 270
14.446 0 -8.66306e-05 4922 4927 264
14.456 0 -8.66306e-05 4920 4929 263
14.466 0 -8.66306e-05 4921 4931 267
